epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1652.61,0.93154,0.52529,1.0411,0.89911,0.91056,0.952,0.6757,0.7492,0.59613,0.77469,0.0011882,0.0011882,0.0011882
43,1691.3,0.93423,0.54534,1.02985,0.88242,0.9323,0.95357,0.68873,0.70967,0.69958,0.75859,0.0011684,0.0011684,0.0011684
44,1730,0.93292,0.53148,1.0346,0.88568,0.90468,0.94984,0.67017,0.74647,0.58063,0.77247,0.0011486,0.0011486,0.0011486
45,1768.56,0.91516,0.50894,1.02216,0.90892,0.90807,0.95297,0.66915,0.75893,0.69239,0.76997,0.0011288,0.0011288,0.0011288
46,1807.07,0.93913,0.52777,1.04304,0.90138,0.93789,0.96484,0.68166,0.73575,0.68996,0.76916,0.001109,0.001109,0.001109
47,1845.15,0.93717,0.5114,1.03005,0.9075,0.95155,0.96892,0.69116,0.71455,0.83352,0.75637,0.0010892,0.0010892,0.0010892
48,1883.42,0.92403,0.50152,1.02873,0.89075,0.94195,0.96338,0.69585,0.70586,0.67634,0.74816,0.0010694,0.0010694,0.0010694
49,1921.5,0.91208,0.51658,1.03594,0.88735,0.94534,0.95897,0.70212,0.68274,0.65534,0.73557,0.0010496,0.0010496,0.0010496
50,1959.77,0.90929,0.51585,1.03764,0.88794,0.92919,0.96072,0.68608,0.71592,0.61571,0.75439,0.0010298,0.0010298,0.0010298
51,1997.71,0.9048,0.50304,1.02116,0.89785,0.91717,0.96435,0.70172,0.69858,0.55666,0.74858,0.00101,0.00101,0.00101
52,2035.78,0.88569,0.49144,1.00946,0.8724,0.92579,0.95016,0.67498,0.7468,0.60399,0.77354,0.0009902,0.0009902,0.0009902
53,2073.87,0.8767,0.47492,1.01643,0.87355,0.91828,0.93976,0.68049,0.7093,0.70044,0.7576,0.0009704,0.0009704,0.0009704
54,2111.79,0.8605,0.48356,1.00532,0.90122,0.93416,0.96584,0.70142,0.69832,0.66735,0.75334,0.0009506,0.0009506,0.0009506
55,2149.78,0.88787,0.48195,1.00216,0.87636,0.9205,0.94664,0.67153,0.74991,0.65632,0.77879,0.0009308,0.0009308,0.0009308
56,2187.6,0.86999,0.47922,1.00075,0.86821,0.95031,0.96431,0.70115,0.71408,0.65959,0.75676,0.000911,0.000911,0.000911
57,2225.61,0.87945,0.47014,1.00762,0.89849,0.91304,0.9616,0.69461,0.72211,0.6648,0.76016,0.0008912,0.0008912,0.0008912
58,2263.61,0.86392,0.46691,1.00803,0.88276,0.95409,0.96189,0.69896,0.71119,0.58355,0.75168,0.0008714,0.0008714,0.0008714
59,2301.68,0.85003,0.46436,1.00648,0.87517,0.91444,0.9446,0.67131,0.7588,0.60501,0.77356,0.0008516,0.0008516,0.0008516
60,2339.74,0.85765,0.46606,1.00453,0.8966,0.91555,0.94983,0.68098,0.74215,0.64489,0.77082,0.0008318,0.0008318,0.0008318
61,2377.52,0.82853,0.45455,0.98017,0.88643,0.91144,0.94979,0.68978,0.71445,0.79838,0.76454,0.000812,0.000812,0.000812
62,2415.46,0.84076,0.45953,0.99392,0.91311,0.91553,0.96205,0.68923,0.72871,0.59768,0.77108,0.0007922,0.0007922,0.0007922
63,2453.38,0.8452,0.4574,0.98929,0.87414,0.94902,0.95479,0.6886,0.71081,0.77059,0.75447,0.0007724,0.0007724,0.0007724
64,2491.38,0.84342,0.45765,0.98528,0.88401,0.93043,0.95785,0.69502,0.6989,0.82935,0.7556,0.0007526,0.0007526,0.0007526
65,2529.21,0.84254,0.449,1.00567,0.88879,0.93325,0.95754,0.68673,0.72296,0.71763,0.76786,0.0007328,0.0007328,0.0007328
66,2566.98,0.81963,0.43268,0.99687,0.89371,0.92962,0.95856,0.69893,0.70945,0.6009,0.76117,0.000713,0.000713,0.000713
67,2604.99,0.82562,0.44288,0.98778,0.92035,0.90559,0.96158,0.69386,0.72367,0.60343,0.76254,0.0006932,0.0006932,0.0006932
68,2642.77,0.80772,0.4399,0.98027,0.89612,0.91088,0.95718,0.69759,0.71339,0.55209,0.76031,0.0006734,0.0006734,0.0006734
69,2680.6,0.80954,0.43513,0.98911,0.87465,0.94476,0.96307,0.69738,0.72592,0.72418,0.77035,0.0006536,0.0006536,0.0006536
70,2718.39,0.81786,0.43221,0.97452,0.87697,0.9205,0.94799,0.68532,0.73754,0.76625,0.7768,0.0006338,0.0006338,0.0006338
71,2756.29,0.79907,0.4239,0.97179,0.88512,0.93793,0.95758,0.68523,0.74137,0.69868,0.77954,0.000614,0.000614,0.000614
72,2794.25,0.79971,0.43363,0.96723,0.90469,0.89612,0.95148,0.68662,0.73643,0.77458,0.77562,0.0005942,0.0005942,0.0005942
